sku;brand;image;title;description;price;category
86438;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/abb8db93-fa2b-4131-9867-5e2430ad3c78/86438_default.png;RF T3652-S;Rockford Fosgate T3652-S / 16,5 cm (6.5”) Component System / 125/250 Watts RMS/MAX. / SPL 87 dB / 48 Hz - 24 kHz / ‡ 71 mm / Ø 144 mm;6969;ICE-RF-hjt
86457;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/7d77f5f8-e19e-4547-bfd6-4cd6b2939cf7/86457_default.png;"RF T1652-S Power højt.splitsæt 6.5""";"16,5 cm (6.5"") Component System ";1909;ICE-RF-hjt
86518;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/44bdfc39-2e43-49f6-86c6-826a6b247642/86518_default.png;RF T1S-1X10;Rockford Fosgate T1S-1X10 / 25 cm (10”) Sealed Subwoofer System / 500/1000 Watts RMS/MAX. / 1 Ω / 31,8 x 68 x 15,9/10,8 cm;5579;ICE-RF-hjt
86523;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/c1398b4d-6743-490e-a5f1-eaf81296a8d5/86522_default.jpg;RF T1S2-12;Rockford Fosgate T1S2-12 / 30 cm (12”) Subwoofer / 600/1200 Watts RMS/MAX. / 2 Ω / SPL 84 dB / ‡ 76,5 mm / Ø 285 mm;4929;ICE-RF-hjt
86542;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/104a83c1-3e35-4c82-8b60-1dc40f15efdd/86541_default.jpg;"RF P3SD4-8 subwoofer DVC 8""";Rockford Fosgate P3SD4-8 / 20 cm (8”) Subwoofer / 150/300 Watts RMS/MAX. / 4 + 4 Ω / SPL 82 dB / ‡ 68 mm / Ø 181 mm;1499;ICE-RF-hjt
86582;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/961a099d-47f3-4e0a-8a44-ba1c3ad1958d/p1s4-15-overhead-3qtr-(1)_default.jpg;RF P1S4-15 (4 ohms);Rockford Fosgate P1S4-15 / 38 cm (15”) Subwoofer / 250/500 Watts RMS/MAX. / 4 Ω / SPL 87,5 dB / ‡ 177 mm / Ø 353 mm;1399;ICE-RF-hjt
86588;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/23bf6b5d-5c0a-4001-842f-a65507db1974/86587_default.png;"RF P2D2-8 Dual voice coil 8"" woofer";Rockford Fosgate P2D2-8 / 20 cm (8”) Subwoofer / 250/500 Watts RMS/MAX. / 2 + 2 Ω / SPL 83 dB / ‡ 121 mm / Ø 181 mm;1079;ICE-RF-hjt
86590;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/7fe9626c-ebd8-4159-85ff-9778472bbab3/86590_default.jpg;RF P2D2-10 DVC woofer 2 ohm;Rockford Fosgate P2D2-10 / 25 cm (10”) Subwoofer / 300/600 Watts RMS/MAX. / 2 + 2 Ω / SPL 83 dB / ‡ 121 mm / Ø 181 mm;1289;ICE-RF-hjt
86738-3;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/ac98fe24-3eb1-41a2-8e77-718912d446d3/hd14cvo-stage3_1_default.jpg;RF HD14CVO-STAGE3;"Rockford Fosgate HD14CVO-STAGE3 / Power lydpakke for Harley-Davidson® CVO® Street Glide® 2014+ / Samlet udgangseffekt 400 Watt RMS / Ingen boring eller skæring påkrævet / Inkluderer lavere fairing-højttalere (kun ikke-vandkølede) / Sættet boltes til fabriksfastgørelsespunkter / Direkte ledningsnet til Harley-Davidson®-modeller / T-sele integration understøtter front/bag fader kontrol / TM400X4ad Class-ad 4-kanals forstærker / TMS65 16,5 cm (6,5"") højtalere / TMS57 13 x 18 cm (5 x7"") Baglid-højttalere / RFK-HD14 forstærker ledningssæt";17579;ICE-RF-øvr
86817;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/06017013-96a3-48f7-828b-87aa975bf50a/86817_default.jpg;RF RFK-HD14;Rockford Fosgate RFK-HD14 / Installations kit til TM400X4ad forstærker til Harley Davidson (2014+) / FULD spec-kabel - opfylder eller overgår AWG-kravene / 100 % rent krystal-iltfrit kobber (PC-OFC) / Plug and Play-design for nem installation / Designet til brug med udvalgte 2014+ Harley-Davidson® / Designet til brug med Power Marine TM400X4ad forstærker / Inkl. monteringsbeslag til Bat Wing og Shark Nose fairings / T-sele integration understøtter front/bag fader kontrol / Inkl. amp output Y-adaptere / Inkl. Boom!™ Audio bypass-stik til fabrikssystemer / Inkl. loop-thru-sele til valgfri DSR1-signalprocessor / Se kompatibilitetsliste hos producenten;2579;ICE-RF-øvr
86836;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/cf283641-f279-4bfb-b6e3-5ed399dac251/86836_default.jpg;RF P3-2X12 subkasse m/2x12 st. 3 woofere;Rockford Fosgate P3-2X12 / 2 x 30 cm (12”) Ported Subwoofer System / 1200/2400 Watts RMS/MAX. / 1 Ω / 38,4 x 86 x 40 cm;6539;ICE-RF-hjt
86876;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/4668f38c-51d7-4f35-bc44-bd9d9cb313db/86876_default.jpg;"RF P2P3G-10 alu-gitter i RF design 10""";"Rockford Fosgate P2P3G-10 / 10"" Gitter til P2D4-10 ogP2D2-10 Subwoofers";329;ICE-RF-div
86911;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/69938f52-43d7-4764-8084-c94ab168a011/86911_default.jpg;RF POP-186-L t-shirt;;139;ICE-RF-div
87052;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/b486a41f-4edc-44c9-9c1f-652b694a4157/87052_default.jpg;"RF R152-S Prime Component sæt 5""";Rockford Fosgate R152-S / 13 cm (5.25”) Component System / 40/80 Watts RMS/MAX. / SPL 85 dB / 58 Hz - 20 kHz, / ‡ 48 mm / Ø 121 mm;749;ICE-RF-hjt
87057;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/ba1766b9-7c5b-4f11-8e55-cb21953cc687/87057_default.png;RF R168X2;15 x 20 cm (6 x 8er) Coaxial ;649;ICE-RF-hjt
87070;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/cc12d7ad-8651-43a8-ac7e-657a14805527/87070_default.jpg;"RF R2SD2-10"" Prime R2 Shallow subwoofer";"25 cm (10"") Shallow Subwoofer";969;ICE-RF-hjt
